Helsinki-NLP/opus-mt-mt-sv,Maltese to Swedish
Helsinki-NLP/opus-mt-no-da,Norwegian to Danish
Helsinki-NLP/opus-mt-no-nl,Norwegian to Dutch
Helsinki-NLP/opus-mt-no-fi,Norwegian to Finnish
Helsinki-NLP/opus-mt-no-fr,Norwegian to French
Helsinki-NLP/opus-mt-no-de,Norwegian to German
Helsinki-NLP/opus-mt-no-pl,Norwegian to Polish
Helsinki-NLP/opus-mt-no-ru,Norwegian to Russian
Helsinki-NLP/opus-mt-no-es,Norwegian to Spanish
Helsinki-NLP/opus-mt-no-sv,Norwegian to Swedish
Helsinki-NLP/opus-mt-no-uk,Norwegian to Ukrainian
Helsinki-NLP/opus-mt-pl-ar,Polish to Arabic
Helsinki-NLP/opus-mt-pl-en,Polish to English
Helsinki-NLP/opus-mt-pl-fr,Polish to French
Helsinki-NLP/opus-mt-pl-de,Polish to German
Helsinki-NLP/opus-mt-pl-lt,Polish to Lithuanian
Helsinki-NLP/opus-mt-pl-no,Polish to Norwegian
Helsinki-NLP/opus-mt-pl-es,Polish to Spanish
Helsinki-NLP/opus-mt-pl-sv,Polish to Swedish
Helsinki-NLP/opus-mt-pl-uk,Polish to Ukrainian
Helsinki-NLP/opus-mt-pt-ca,Portuguese to Catalan
Helsinki-NLP/opus-mt-pt-uk,Portuguese to Ukrainian
Helsinki-NLP/opus-mt-ro-fi,Romanian to Finnish
Helsinki-NLP/opus-mt-ro-fr,Romanian to French
Helsinki-NLP/opus-mt-ro-sv,Romanian to Swedish
Helsinki-NLP/opus-mt-ru-ar,Russian to Arabic
Helsinki-NLP/opus-mt-ru-bg,Russian to Bulgarian
Helsinki-NLP/opus-mt-ru-da,Russian to Danish
Helsinki-NLP/opus-mt-ru-en,Russian to English
Helsinki-NLP/opus-mt-ru-et,Russian to Estonian
Helsinki-NLP/opus-mt-ru-fi,Russian to Finnish
Helsinki-NLP/opus-mt-ru-fr,Russian to French
Helsinki-NLP/opus-mt-ru-he,Russian to Hebrew
Helsinki-NLP/opus-mt-ru-lv,Russian to Latvian
Helsinki-NLP/opus-mt-ru-lt,Russian to Lithuanian
Helsinki-NLP/opus-mt-ru-no,Russian to Norwegian
Helsinki-NLP/opus-mt-ru-sl,Russian to Slovenian
Helsinki-NLP/opus-mt-ru-es,Russian to Spanish
Helsinki-NLP/opus-mt-ru-sv,Russian to Swedish
Helsinki-NLP/opus-mt-ru-uk,Russian to Ukrainian
Helsinki-NLP/opus-mt-ru-vi,Russian to Vietnamese
Helsinki-NLP/opus-mt-sk-en,Slovak to English
Helsinki-NLP/opus-mt-sk-fi,Slovak to Finnish
Helsinki-NLP/opus-mt-sk-fr,Slovak to French
Helsinki-NLP/opus-mt-sk-es,Slovak to Spanish
Helsinki-NLP/opus-mt-sk-sv,Slovak to Swedish
Helsinki-NLP/opus-mt-sl-fi,Slovenian to Finnish
Helsinki-NLP/opus-mt-sl-fr,Slovenian to French
Helsinki-NLP/opus-mt-sl-ru,Slovenian to Russian
Helsinki-NLP/opus-mt-sl-es,Slovenian to Spanish
Helsinki-NLP/opus-mt-sl-sv,Slovenian to Swedish
Helsinki-NLP/opus-mt-sl-uk,Slovenian to Ukrainian
Helsinki-NLP/opus-mt-es-ar,Spanish to Arabic
Helsinki-NLP/opus-mt-es-bg,Spanish to Bulgarian
Helsinki-NLP/opus-mt-es-ca,Spanish to Catalan
Helsinki-NLP/opus-mt-es-hr,Spanish to Croatian
Helsinki-NLP/opus-mt-es-cs,Spanish to Czech
Helsinki-NLP/opus-mt-es-da,Spanish to Danish
Helsinki-NLP/opus-mt-es-nl,Spanish to Dutch
Helsinki-NLP/opus-mt-es-en,Spanish to English
Helsinki-NLP/opus-mt-es-et,Spanish to Estonian
Helsinki-NLP/opus-mt-es-fi,Spanish to Finnish
Helsinki-NLP/opus-mt-es-fr,Spanish to French
Helsinki-NLP/opus-mt-es-de,Spanish to German
Helsinki-NLP/opus-mt-es-el,Spanish to Greek
Helsinki-NLP/opus-mt-es-he,Spanish to Hebrew
Helsinki-NLP/opus-mt-es-is,Spanish to Icelandic
Helsinki-NLP/opus-mt-es-it,Spanish to Italian
Helsinki-NLP/opus-mt-es-lt,Spanish to Lithuanian
Helsinki-NLP/opus-mt-es-mk,Spanish to Macedonian
Helsinki-NLP/opus-mt-es-mt,Spanish to Maltese
Helsinki-NLP/opus-mt-es-no,Spanish to Norwegian
Helsinki-NLP/opus-mt-es-pl,Spanish to Polish
Helsinki-NLP/opus-mt-es-ro,Spanish to Romanian
Helsinki-NLP/opus-mt-es-ru,Spanish to Russian
Helsinki-NLP/opus-mt-es-sl,Spanish to Slovenian
Helsinki-NLP/opus-mt-es-uk,Spanish to Ukrainian
Helsinki-NLP/opus-mt-es-vi,Spanish to Vietnamese
Helsinki-NLP/opus-mt-sv-sq,Swedish to Albanian
Helsinki-NLP/opus-mt-sv-bg,Swedish to Bulgarian
Helsinki-NLP/opus-mt-sv-hr,Swedish to Croatian
Helsinki-NLP/opus-mt-sv-cs,Swedish to Czech
Helsinki-NLP/opus-mt-sv-nl,Swedish to Dutch
